"run","InsectId","Count","tick"
1,"spec",20,0.0
1,"gen",20,0.0
1,"spec",13,1.0
1,"gen",10,1.0
1,"spec",54,2.0
1,"gen",36,2.0
1,"spec",71,3.0
1,"gen",49,3.0
1,"spec",174,4.0
1,"gen",83,4.0
1,"spec",277,5.0
1,"gen",119,5.0
1,"spec",560,6.0
1,"gen",182,6.0
1,"spec",970,7.0
1,"gen",255,7.0
1,"spec",1753,8.0
1,"gen",361,8.0
1,"spec",2654,9.0
1,"gen",501,9.0
1,"spec",3056,10.0
1,"gen",626,10.0
1,"spec",2839,11.0
1,"gen",710,11.0
1,"spec",2746,12.0
1,"gen",794,12.0
1,"spec",3230,13.0
1,"gen",913,13.0
1,"spec",3258,14.0
1,"gen",1021,14.0
1,"spec",2824,15.0
1,"gen",1195,15.0
1,"spec",2892,16.0
1,"gen",1376,16.0
1,"spec",3167,17.0
1,"gen",1549,17.0
1,"spec",2975,18.0
1,"gen",1735,18.0
1,"spec",2727,19.0
1,"gen",1942,19.0
1,"spec",2904,20.0
1,"gen",2237,20.0
1,"spec",2920,21.0
1,"gen",2553,21.0
1,"spec",2646,22.0
1,"gen",2729,22.0
1,"spec",2544,23.0
1,"gen",2935,23.0
1,"spec",2709,24.0
1,"gen",3220,24.0
1,"spec",2667,25.0
1,"gen",3456,25.0
1,"spec",2424,26.0
1,"gen",3659,26.0
1,"spec",2364,27.0
1,"gen",3778,27.0
1,"spec",2405,28.0
1,"gen",3910,28.0
1,"spec",2342,29.0
1,"gen",4104,29.0
1,"spec",2227,30.0
1,"gen",4114,30.0
1,"spec",2259,31.0
1,"gen",4164,31.0
1,"spec",2221,32.0
1,"gen",4344,32.0
1,"spec",2194,33.0
1,"gen",4333,33.0
1,"spec",2166,34.0
1,"gen",4300,34.0
1,"spec",2159,35.0
1,"gen",4413,35.0
1,"spec",2129,36.0
1,"gen",4345,36.0
1,"spec",2132,37.0
1,"gen",4445,37.0
1,"spec",2106,38.0
1,"gen",4540,38.0
1,"spec",2070,39.0
1,"gen",4426,39.0
1,"spec",2140,40.0
1,"gen",4492,40.0
1,"spec",2079,41.0
1,"gen",4523,41.0
1,"spec",2083,42.0
1,"gen",4476,42.0
1,"spec",2136,43.0
1,"gen",4450,43.0
1,"spec",2072,44.0
1,"gen",4437,44.0
1,"spec",2087,45.0
1,"gen",4512,45.0
1,"spec",2066,46.0
1,"gen",4521,46.0
1,"spec",2043,47.0
1,"gen",4488,47.0
1,"spec",2036,48.0
1,"gen",4498,48.0
1,"spec",2044,49.0
1,"gen",4495,49.0
1,"spec",2105,50.0
1,"gen",4513,50.0
1,"spec",2067,51.0
1,"gen",4454,51.0
1,"spec",1989,52.0
1,"gen",4542,52.0
1,"spec",2037,53.0
1,"gen",4564,53.0
1,"spec",2005,54.0
1,"gen",4421,54.0
1,"spec",2010,55.0
1,"gen",4434,55.0
1,"spec",2020,56.0
1,"gen",4520,56.0
1,"spec",2006,57.0
1,"gen",4484,57.0
1,"spec",1954,58.0
1,"gen",4434,58.0
1,"spec",1917,59.0
1,"gen",4448,59.0
1,"spec",1949,60.0
1,"gen",4419,60.0
1,"spec",1956,61.0
1,"gen",4431,61.0
1,"spec",1987,62.0
1,"gen",4429,62.0
1,"spec",2023,63.0
1,"gen",4413,63.0
1,"spec",2071,64.0
1,"gen",4465,64.0
1,"spec",1999,65.0
1,"gen",4452,65.0
1,"spec",1962,66.0
1,"gen",4378,66.0
1,"spec",1999,67.0
1,"gen",4462,67.0
1,"spec",1955,68.0
1,"gen",4371,68.0
1,"spec",1895,69.0
1,"gen",4339,69.0
1,"spec",1864,70.0
1,"gen",4459,70.0
1,"spec",1957,71.0
1,"gen",4450,71.0
1,"spec",2042,72.0
1,"gen",4332,72.0
1,"spec",1949,73.0
1,"gen",4261,73.0
1,"spec",1878,74.0
1,"gen",4325,74.0
1,"spec",1985,75.0
1,"gen",4327,75.0
1,"spec",2002,76.0
1,"gen",4278,76.0
1,"spec",1970,77.0
1,"gen",4265,77.0
1,"spec",1954,78.0
1,"gen",4309,78.0
1,"spec",2077,79.0
1,"gen",4327,79.0
1,"spec",1978,80.0
1,"gen",4243,80.0
1,"spec",1889,81.0
1,"gen",4226,81.0
1,"spec",2007,82.0
1,"gen",4276,82.0
1,"spec",2056,83.0
1,"gen",4307,83.0
1,"spec",1903,84.0
1,"gen",4214,84.0
1,"spec",1891,85.0
1,"gen",4223,85.0
1,"spec",1945,86.0
1,"gen",4243,86.0
1,"spec",1918,87.0
1,"gen",4235,87.0
1,"spec",1926,88.0
1,"gen",4211,88.0
1,"spec",1894,89.0
1,"gen",4172,89.0
1,"spec",1913,90.0
1,"gen",4211,90.0
1,"spec",1863,91.0
1,"gen",4185,91.0
1,"spec",1837,92.0
1,"gen",4067,92.0
1,"spec",1887,93.0
1,"gen",4082,93.0
1,"spec",1883,94.0
1,"gen",4136,94.0
1,"spec",1860,95.0
1,"gen",4052,95.0
1,"spec",1851,96.0
1,"gen",4045,96.0
1,"spec",1929,97.0
1,"gen",4044,97.0
1,"spec",1889,98.0
1,"gen",4109,98.0
1,"spec",1843,99.0
1,"gen",4085,99.0
1,"spec",1927,100.0
1,"gen",4022,100.0
1,"spec",1861,101.0
1,"gen",3993,101.0
1,"spec",1788,102.0
1,"gen",4027,102.0
1,"spec",1803,103.0
1,"gen",3983,103.0
1,"spec",1923,104.0
1,"gen",3998,104.0
1,"spec",1890,105.0
1,"gen",4074,105.0
1,"spec",1809,106.0
1,"gen",3978,106.0
1,"spec",1908,107.0
1,"gen",4010,107.0
1,"spec",1929,108.0
1,"gen",4066,108.0
1,"spec",1836,109.0
1,"gen",3951,109.0
1,"spec",1826,110.0
1,"gen",3967,110.0
1,"spec",1897,111.0
1,"gen",4014,111.0
1,"spec",1841,112.0
1,"gen",3986,112.0
1,"spec",1839,113.0
1,"gen",3971,113.0
1,"spec",1848,114.0
1,"gen",3911,114.0
1,"spec",1881,115.0
1,"gen",3856,115.0
1,"spec",1876,116.0
1,"gen",3877,116.0
1,"spec",1877,117.0
1,"gen",3918,117.0
1,"spec",1904,118.0
1,"gen",3826,118.0
1,"spec",1868,119.0
1,"gen",3858,119.0
1,"spec",1883,120.0
1,"gen",3820,120.0
1,"spec",1895,121.0
1,"gen",3726,121.0
1,"spec",1882,122.0
1,"gen",3835,122.0
1,"spec",1920,123.0
1,"gen",3833,123.0
1,"spec",1925,124.0
1,"gen",3689,124.0
1,"spec",1867,125.0
1,"gen",3726,125.0
1,"spec",1909,126.0
1,"gen",3742,126.0
1,"spec",1953,127.0
1,"gen",3692,127.0
1,"spec",1921,128.0
1,"gen",3668,128.0
1,"spec",1878,129.0
1,"gen",3655,129.0
1,"spec",1953,130.0
1,"gen",3671,130.0
1,"spec",1986,131.0
1,"gen",3744,131.0
1,"spec",1873,132.0
1,"gen",3747,132.0
1,"spec",1869,133.0
1,"gen",3707,133.0
1,"spec",1928,134.0
1,"gen",3641,134.0
1,"spec",1990,135.0
1,"gen",3623,135.0
1,"spec",1939,136.0
1,"gen",3561,136.0
1,"spec",1957,137.0
1,"gen",3570,137.0
1,"spec",1954,138.0
1,"gen",3595,138.0
1,"spec",1922,139.0
