"InsectId","Count","tick"
"",20,0.0
"",20,0.0
"",11,1.0
"",13,1.0
"",43,2.0
"",47,2.0
"",58,3.0
"",65,3.0
"",141,4.0
"",152,4.0
"",217,5.0
"",241,5.0
"",441,6.0
"",480,6.0
"",773,7.0
"",850,7.0
"",1448,8.0
"",1592,8.0
"",2545,9.0
"",2834,9.0
"",4186,10.0
"",4688,10.0
"",5808,11.0
"",6583,11.0
"",6476,12.0
"",7463,12.0
"",6042,13.0
"",7130,13.0
"",5902,14.0
"",6913,14.0
"",6435,15.0
"",7430,15.0
"",6703,16.0
"",7708,16.0
"",6085,17.0
"",6989,17.0
"",5868,18.0
"",6675,18.0
"",6375,19.0
"",7305,19.0
