"run","tick","PlantId","TotalDamge"
1,0.0,"crop",0
1,0.0,"host",0
1,1.0,"crop",0
1,1.0,"host",0
1,2.0,"crop",18
1,2.0,"host",69
1,3.0,"crop",27
1,3.0,"host",90
1,4.0,"crop",67
1,4.0,"host",263
1,5.0,"crop",101
1,5.0,"host",384
1,6.0,"crop",168
1,6.0,"host",825
1,7.0,"crop",236
1,7.0,"host",1353
1,8.0,"crop",344
1,8.0,"host",2534
1,9.0,"crop",502
1,9.0,"host",3960
1,10.0,"crop",705
1,10.0,"host",5710
1,11.0,"crop",1026
1,11.0,"host",7128
1,12.0,"crop",1425
1,12.0,"host",8476
1,13.0,"crop",1897
1,13.0,"host",10140
1,14.0,"crop",2407
1,14.0,"host",11838
1,15.0,"crop",3086
1,15.0,"host",13268
1,16.0,"crop",3892
1,16.0,"host",14746
1,17.0,"crop",4772
1,17.0,"host",16418
1,18.0,"crop",5783
1,18.0,"host",17998
1,19.0,"crop",6959
1,19.0,"host",19444
1,20.0,"crop",8223
1,20.0,"host",20957
1,21.0,"crop",9552
1,21.0,"host",22555
1,22.0,"crop",10896
1,22.0,"host",24025
1,23.0,"crop",12270
1,23.0,"host",25511
1,24.0,"crop",13722
1,24.0,"host",27113
1,25.0,"crop",15208
1,25.0,"host",28610
1,26.0,"crop",16715
1,26.0,"host",30136
1,27.0,"crop",18271
1,27.0,"host",31625
1,28.0,"crop",19811
1,28.0,"host",33196
1,29.0,"crop",21383
1,29.0,"host",34679
1,30.0,"crop",22993
1,30.0,"host",36127
1,31.0,"crop",24596
1,31.0,"host",37723
1,32.0,"crop",26196
1,32.0,"host",39294
1,33.0,"crop",27831
1,33.0,"host",40792
1,34.0,"crop",29472
1,34.0,"host",42343
1,35.0,"crop",31104
1,35.0,"host",43887
1,36.0,"crop",32776
1,36.0,"host",45418
1,37.0,"crop",34463
1,37.0,"host",46962
1,38.0,"crop",36130
1,38.0,"host",48448
1,39.0,"crop",37772
1,39.0,"host",50043
1,40.0,"crop",39429
1,40.0,"host",51572
1,41.0,"crop",41130
1,41.0,"host",53087
1,42.0,"crop",42795
1,42.0,"host",54508
1,43.0,"crop",44494
1,43.0,"host",55987
1,44.0,"crop",46171
1,44.0,"host",57509
1,45.0,"crop",47836
1,45.0,"host",59008
1,46.0,"crop",49470
1,46.0,"host",60508
1,47.0,"crop",51186
1,47.0,"host",62100
1,48.0,"crop",52825
1,48.0,"host",63637
1,49.0,"crop",54528
1,49.0,"host",65140
1,50.0,"crop",56163
